model,corpus,query_format,epsilon,baseline_MRR@10,corpus_only_ZCA_MRR@10,dMRR@10,Recall@10,tier
BioLORD-2023,MTSamples,keyword,1e-07,0.8155952380952382,0.7788809523809525,-0.0367142857142857,0.91,1
BioLORD-2023,MTSamples,keyword,1e-06,0.8155952380952382,0.7791190476190476,-0.03647619047619055,0.91,1
BioLORD-2023,MTSamples,keyword,1e-05,0.8155952380952382,0.7857857142857142,-0.029809523809523952,0.91,1
BioLORD-2023,MTSamples,keyword,0.0001,0.8155952380952382,0.777968253968254,-0.037626984126984175,0.92,1
BioLORD-2023,MTSamples,keyword,0.001,0.8155952380952382,0.8065000000000001,-0.009095238095238045,0.92,1
BioLORD-2023,MTSamples,keyword,0.01,0.8155952380952382,0.80875,-0.006845238095238182,0.97,1
BioLORD-2023,MTSamples,natural_language,1e-07,0.8807619047619047,0.8389444444444445,-0.04181746031746025,0.9,1
BioLORD-2023,MTSamples,natural_language,1e-06,0.8807619047619047,0.8390833333333333,-0.041678571428571454,0.9,1
BioLORD-2023,MTSamples,natural_language,1e-05,0.8807619047619047,0.8389444444444445,-0.04181746031746025,0.9,1
BioLORD-2023,MTSamples,natural_language,0.0001,0.8807619047619047,0.8411111111111111,-0.0396507936507936,0.9,1
BioLORD-2023,MTSamples,natural_language,0.001,0.8807619047619047,0.8580833333333334,-0.022678571428571326,0.93,1
BioLORD-2023,MTSamples,natural_language,0.01,0.8807619047619047,0.876107142857143,-0.004654761904761773,0.97,1
BioLORD-2023,PMC-Patients,keyword,1e-07,0.8969285714285714,0.8597777777777779,-0.037150793650793545,0.93,1
BioLORD-2023,PMC-Patients,keyword,1e-06,0.8969285714285714,0.8597777777777779,-0.037150793650793545,0.93,1
BioLORD-2023,PMC-Patients,keyword,1e-05,0.8969285714285714,0.8602777777777777,-0.03665079365079371,0.93,1
BioLORD-2023,PMC-Patients,keyword,0.0001,0.8969285714285714,0.8630952380952382,-0.03383333333333316,0.93,1
BioLORD-2023,PMC-Patients,keyword,0.001,0.8969285714285714,0.877734126984127,-0.019194444444444403,0.96,1
BioLORD-2023,PMC-Patients,keyword,0.01,0.8969285714285714,0.8903333333333333,-0.0065952380952380985,0.97,1
BioLORD-2023,PMC-Patients,natural_language,1e-07,0.9816666666666666,0.9433333333333335,-0.03833333333333311,0.97,1
BioLORD-2023,PMC-Patients,natural_language,1e-06,0.9816666666666666,0.9433333333333335,-0.03833333333333311,0.97,1
BioLORD-2023,PMC-Patients,natural_language,1e-05,0.9816666666666666,0.9433333333333335,-0.03833333333333311,0.97,1
BioLORD-2023,PMC-Patients,natural_language,0.0001,0.9816666666666666,0.9505833333333333,-0.03108333333333324,0.99,1
BioLORD-2023,PMC-Patients,natural_language,0.001,0.9816666666666666,0.9530833333333334,-0.028583333333333183,1.0,1
