Corpus,Configuration,Nominal tier,Query format,Documents sampled,Draws,Full-sample dMRR@10,Draws with correct sign,Agreement rate,Wilson lower,Wilson upper,reference sign,contributes to
mimic_discharge,BioBERT,2,keyword,30,500,0.1807,500,1.0,0.9924,1.0,positive,sensitivity
mimic_discharge,BioBERT,2,keyword,50,500,0.1807,500,1.0,0.9924,1.0,positive,sensitivity
mimic_discharge,BioBERT,2,keyword,75,500,0.1807,500,1.0,0.9924,1.0,positive,sensitivity
mimic_discharge,BioBERT,2,nl,10,500,0.1328,358,0.716,0.6749,0.7538,positive,sensitivity
mimic_discharge,BioBERT,2,nl,20,500,0.1328,458,0.916,0.8884,0.9373,positive,sensitivity
mimic_discharge,BioBERT,2,nl,30,500,0.1328,491,0.982,0.9661,0.9905,positive,sensitivity
mimic_discharge,BioBERT,2,nl,50,500,0.1328,498,0.996,0.9855,0.9989,positive,sensitivity
mimic_discharge,BioBERT,2,nl,75,500,0.1328,500,1.0,0.9924,1.0,positive,sensitivity
mimic_discharge,BioMistral-7B,2,keyword,10,500,0.1785,266,0.532,0.4882,0.5753,positive,sensitivity
mimic_discharge,BioMistral-7B,2,keyword,20,500,0.1785,379,0.758,0.7186,0.7935,positive,sensitivity
mimic_discharge,BioMistral-7B,2,keyword,30,500,0.1785,451,0.902,0.8728,0.9251,positive,sensitivity
mimic_discharge,BioMistral-7B,2,keyword,50,500,0.1785,497,0.994,0.9825,0.998,positive,sensitivity
mimic_discharge,BioMistral-7B,2,keyword,75,500,0.1785,500,1.0,0.9924,1.0,positive,sensitivity
mimic_discharge,BioMistral-7B,2,nl,10,500,0.1307,318,0.636,0.5929,0.677,positive,sensitivity
mimic_discharge,BioMistral-7B,2,nl,20,500,0.1307,331,0.662,0.6194,0.7021,positive,sensitivity
mimic_discharge,BioMistral-7B,2,nl,30,500,0.1307,401,0.802,0.7648,0.8346,positive,sensitivity
mimic_discharge,BioMistral-7B,2,nl,50,500,0.1307,464,0.928,0.9019,0.9475,positive,sensitivity
mimic_discharge,BioMistral-7B,2,nl,75,500,0.1307,500,1.0,0.9924,1.0,positive,sensitivity
mimic_discharge,ClinicalBERT,2,keyword,10,500,0.1145,379,0.758,0.7186,0.7935,positive,sensitivity
mimic_discharge,ClinicalBERT,2,keyword,20,500,0.1145,463,0.926,0.8997,0.9458,positive,sensitivity
mimic_discharge,ClinicalBERT,2,keyword,30,500,0.1145,490,0.98,0.9636,0.9891,positive,sensitivity
mimic_discharge,ClinicalBERT,2,keyword,50,500,0.1145,499,0.998,0.9888,0.9996,positive,sensitivity
mimic_discharge,ClinicalBERT,2,keyword,75,500,0.1145,500,1.0,0.9924,1.0,positive,sensitivity
mimic_discharge,ClinicalBERT,2,nl,10,500,0.0877,296,0.592,0.5484,0.6342,positive,sensitivity
mimic_discharge,ClinicalBERT,2,nl,20,500,0.0877,405,0.81,0.7733,0.842,positive,sensitivity
mimic_discharge,ClinicalBERT,2,nl,30,500,0.0877,435,0.87,0.8377,0.8967,positive,sensitivity
mimic_discharge,ClinicalBERT,2,nl,50,500,0.0877,489,0.978,0.961,0.9877,positive,sensitivity
mimic_discharge,ClinicalBERT,2,nl,75,500,0.0877,499,0.998,0.9888,0.9996,positive,sensitivity
mimic_discharge,E5-Mistral-7B,2,keyword,10,500,0.1316,369,0.738,0.6977,0.7746,positive,sensitivity
mimic_discharge,E5-Mistral-7B,2,keyword,20,500,0.1316,478,0.956,0.9343,0.9708,positive,sensitivity
mimic_discharge,E5-Mistral-7B,2,keyword,30,500,0.1316,499,0.998,0.9888,0.9996,positive,sensitivity
mimic_discharge,E5-Mistral-7B,2,keyword,50,500,0.1316,500,1.0,0.9924,1.0,positive,sensitivity
mimic_discharge,E5-Mistral-7B,2,keyword,75,500,0.1316,500,1.0,0.9924,1.0,positive,sensitivity
mimic_discharge,E5-Mistral-7B,2,nl,10,500,0.0332,355,0.71,0.6687,0.7481,positive,sensitivity
mimic_discharge,E5-Mistral-7B,2,nl,20,500,0.0332,418,0.836,0.801,0.8659,positive,sensitivity
mimic_discharge,E5-Mistral-7B,2,nl,30,500,0.0332,458,0.916,0.8884,0.9373,positive,sensitivity
mimic_discharge,E5-Mistral-7B,2,nl,50,500,0.0332,478,0.956,0.9343,0.9708,positive,sensitivity
mimic_discharge,E5-Mistral-7B,2,nl,75,500,0.0332,494,0.988,0.9741,0.9945,positive,sensitivity
mimic_discharge,E5-Mistral-7B-ablation,2,keyword,10,500,0.1697,266,0.532,0.4882,0.5753,positive,sensitivity
mimic_discharge,E5-Mistral-7B-ablation,2,keyword,20,500,0.1697,393,0.786,0.7479,0.8197,positive,sensitivity
mimic_discharge,E5-Mistral-7B-ablation,2,keyword,30,500,0.1697,435,0.87,0.8377,0.8967,positive,sensitivity
mimic_discharge,E5-Mistral-7B-ablation,2,keyword,50,500,0.1697,489,0.978,0.961,0.9877,positive,sensitivity
mimic_discharge,E5-Mistral-7B-ablation,2,keyword,75,500,0.1697,500,1.0,0.9924,1.0,positive,sensitivity
mimic_discharge,E5-Mistral-7B-ablation,2,nl,10,500,0.2741,366,0.732,0.6915,0.7689,positive,sensitivity
mimic_discharge,E5-Mistral-7B-ablation,2,nl,20,500,0.2741,453,0.906,0.8772,0.9286,positive,sensitivity
mimic_discharge,E5-Mistral-7B-ablation,2,nl,30,500,0.2741,480,0.96,0.939,0.974,positive,sensitivity
